"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT1","3V6","~","","1",""
"C1","220uF","~","","1",""
"C3,C7,C14","33pF","~","","3",""
"C4,C5","10pF","~","","2",""
"C6","100uF","~","","1",""
"C8","27pF","~","","1",""
"C9","47pF","~","","1",""
"C10","220nF","~","","1",""
"C11","100nF","~","","1",""
"C15","FOI","~","","1",""
"D1,D2","BAT42","~","","2",""
"D3,D4,D5,D6,D7","1N4148","~","","5",""
"D6","LED","~","","1",""
"D8","RED","~","","1",""
"D9","GREEN","~","","1",""
"FST3,FST4,PL1,PL2,TP1,TP2,TP3,TP4","Conn_01x01_Socket","~","","8",""
"J1","Eco_Out","~","","1",""
"J2,J3,J5,J6,J7,J8,J10,J15","-- mixed values --","-- mixed values --","","8",""
"J3,J16","-- mixed values --","~","","2",""
"J4","2us","~","","1",""
"J7","Econet module","~","","1",""
"J16","Conn_01x02","~","","1",""
"J16_1,J16_2,J16_3","Conn_01x01_Pin","~","","3",""
"Q1,Q2","BC212","https://media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/BC212.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
"Q3","BC160","http://www.farnell.com/datasheets/1697389.pdf","Package_TO_SOT_THT:TO-39-3","1",""
"Q4","BC107","http://www.b-kainka.de/Daten/Transistor/BC108.pdf","Package_TO_SOT_THT:TO-18-3","1",""
"Q5","Q_Photo_NPN_CE","~","","1",""
"R2","390","~","","1",""
"R3","5M6","~","","1",""
"R4","150k","~","","1",""
"R5,R6,R7,R8,R10,R60","-- mixed values --","~","","6",""
"R11","4M7","~","","1",""
"R12,R38,R56,R59","10k","~","","4",""
"R13,R14,R15,R29,R30,R57,R58","330","~","","7",""
"R16,R17,R18,R25,R31,R34","4k7","~","","6",""
"R19,R20,R21,R22,R36","270","~","","5",""
"R23","1k","~","","1",""
"R24","22k","~","","1",""
"R26","3k3","~","","1",""
"R27","680","~","","1",""
"R28,R61,R62,R65","1k5","~","","4",""
"R32","2k2","~","","1",""
"R33,R37","56","~","","2",""
"R35","15k","~","","1",""
"R63","820","~","","1",""
"R64","220","~","","1",""
"SK1,SK6","Conn_02x17_Odd_Even","~","","2",""
"SK4","Winchester Interface","~","","1",""
"SK5","Printer Interface","~","","1",""
"SK9","N.F.","~","","1",""
"SOT12,SOT13","22pF","~","","2",""
"U1,U14,U18","74LS139","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf","","3",""
"U2","MC146818","","Package_DIP:DIP-24_W15.24mm","1",""
"U3","65C102","http://www.6502.org/documents/datasheets/mos/mos_6500_mpu_mar_1980.pdf","Package_DIP:DIP-40_W15.24mm","1",""
"U4,U5","27256","http://datasheet.octopart.com/D27256-2-Intel-datasheet-17852618.pdf","Package_DIP:DIP-28_W15.24mm","2",""
"U6","74LS57","","Package_DIP:DIP-8-N6_W7.62mm","1",""
"U7","74HC73","http://www.ti.com/lit/gpn/sn74LS73","","1",""
"U8","74HC123","-- mixed values --","","1",""
"U9,U10","74HC157","http://www.ti.com/lit/gpn/sn74LS157","","2",""
"U11","74HC30","http://www.ti.com/lit/gpn/sn74LS30","","1",""
"U11,U33","74LS32","http://www.ti.com/lit/gpn/sn74LS32","","2",""
"U12,U13","4464","","","2",""
"U15","74LS245","http://www.ti.com/lit/gpn/sn74LS245","","1",""
"U16,U17","74HC74","74xx/74hc_hct74.pdf","","2",""
"U19","74HC273","https://assets.nexperia.com/documents/data-sheet/74HC_HCT273.pdf","","1",""
"U20,U37","-- mixed values --","-- mixed values --","-- mixed values --","2",""
"U21","6522","http://www.6502.org/documents/datasheets/mos/mos_6522_preliminary_nov_1977.pdf","Package_DIP:DIP-40_W15.24mm","1",""
"U23","74LS244","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf","","1",""
"U24","74LS14","http://www.ti.com/lit/gpn/sn74LS14","","1",""
"U26","-- mixed values --","-- mixed values --","","1",""
"U27","74LS125","http://www.ti.com/lit/gpn/sn74LS125","","1",""
"U29","7416","","","1",""
"U30,U31","7438","","","2",""
"U32","74HC02","http://www.ti.com/lit/gpn/sn74hc02","","1",""
"U34","74HC00","http://www.ti.com/lit/gpn/sn74hc00","","1",""
"U35","74LS04","http://www.ti.com/lit/gpn/sn74LS04","","1",""
"X1","32768","~","","1",""
"X2","8 MHz","~","","1",""
